Model,Fraud Precision,Fraud Recall,Fraud F1,ROC-AUC,PR-AUC,Macro F1,Weighted F1,Log Loss,False Positives,False Negatives,True Positives,True Negatives,Unique Probabilities
MLP,0.9721995094031071,0.9650974025974026,0.9686354378818737,0.9987064376370383,0.9949433758476348,0.9811950001478473,0.9895680416584967,0.030928312819455364,34,43,1189,6126,7100
BiLSTM,0.9649551752241239,0.961038961038961,0.9629930866205775,0.9975020819278125,0.9944307648044508,0.9778048597403091,0.9876793751534634,0.0436256008138357,43,48,1184,6117,6844
GRU,0.9671052631578947,0.9545454545454546,0.9607843137254902,0.9974205177938944,0.9937915728903941,0.9765011062790876,0.9869789679814858,0.04632887853700441,40,56,1176,6120,6846
TabNet,0.9227467811158798,0.872564935064935,0.8969545264914477,0.9922500237181648,0.9667224221234871,0.9385071332707501,0.9662088711236184,0.1318967731008269,90,157,1075,6070,7150
FT-Transformer,0.757532281205165,0.8571428571428571,0.8042650418888042,0.9768011310929331,0.8962688468232695,0.8809941758218491,0.9321469317772123,0.21834211371281975,338,176,1056,5822,7371
TabTransformer,0.7007042253521126,0.8076298701298701,0.7503770739064857,0.9638809242705347,0.8347001671965727,0.8479053190172059,0.9129241490910194,0.2422988450372722,425,237,995,5735,7045
